Date,Last_Price
1971/3/19,17.2228
1971/3/22,17.1213
1971/3/23,16.99
1971/3/24,16.9542
1971/3/25,17.0019
1971/3/26,17.0974
1971/3/29,17.0258
1971/3/30,17.0497
1971/3/31,17.0736
1971/4/1,17.0019
1971/4/2,17.0974
1971/4/5,17.2288
1971/4/6,17.2467
1971/4/7,17.2407
1971/4/8,17.0377
1971/4/12,17.0497
1971/4/13,17.0974
1971/4/14,17.1333
1971/4/15,17.0139
1971/4/16,16.8109
1971/4/19,16.9064
1971/4/20,17.0019
1971/4/21,16.8586
1971/4/22,16.8109
1971/4/23,16.9542
1971/4/26,17.0019
1971/4/27,17.0974
1971/4/28,17.2526
1971/4/29,17.2885
1971/4/30,17.0855
1971/5/3,16.8706
1971/5/4,16.8825
1971/5/5,16.8586
1971/5/6,16.7989
1971/5/7,16.5721
1971/5/10,16.4646
1971/5/11,16.3452
1971/5/12,16.3572
1971/5/13,16.2497
1971/5/14,16.0229
1971/5/17,15.9512
1971/5/18,16.1423
1971/5/19,16.3333
1971/5/20,16.6199
1971/5/21,16.4288
1971/5/24,16.2855
1971/5/25,16.0945
1971/5/26,16.1065
1971/5/27,15.9512
1971/5/28,15.6169
1971/6/1,15.7005
1971/6/2,15.5931
1971/6/3,15.3423
1971/6/4,15.4856
1971/6/7,15.1752
1971/6/8,14.9244
1971/6/9,15.199
1971/6/10,15.3543
1971/6/11,15.4975
1971/6/14,15.217
1971/6/15,15.3543
1971/6/16,15.4498
1971/6/17,15.3304
1971/6/18,15.0677
1971/6/21,14.9961
1971/6/22,15.0319
1971/6/23,15.0558
1971/6/24,14.9483
1971/6/25,14.8647
1971/6/28,14.8886
1971/6/29,14.9961
1971/6/30,15.1393
1971/7/1,15.1752
1971/7/2,15.2349
1971/7/6,15.1155
1971/7/7,14.8767
1971/7/8,14.8647
1971/7/9,15.0916
1971/7/12,15.0438
1971/7/13,14.423
1971/7/14,14.3275
1971/7/15,14.2319
1971/7/16,14.0648
1971/7/19,14.1603
1971/7/20,14.2797
1971/7/21,14.411
1971/7/22,14.3036
1971/7/23,14.2319
1971/7/26,14.1722
1971/7/27,13.9812
1971/7/28,14.3036
1971/7/29,14.1722
1971/7/30,13.9096
1971/8/2,14.029
1971/8/3,13.8499
1971/8/4,13.7066
1971/8/5,13.7066
1971/8/6,13.635
1971/8/9,13.5633
1971/8/10,13.6588
1971/8/11,13.9096
1971/8/12,14.1722
1971/8/13,14.0887
1971/8/16,14.9961
1971/8/17,15.0797
1971/8/18,14.817
1971/8/19,14.6618
1971/8/20,14.7573
1971/8/23,15.0319
1971/8/24,15.199
1971/8/25,15.0319
1971/8/26,14.9961
1971/8/27,15.0677
1971/8/30,14.811
1971/8/31,14.5185
1971/9/1,14.3991
1971/9/2,14.3036
1971/9/3,14.6976
1971/9/7,14.805
1971/9/8,14.8289
1971/9/9,14.6319
1971/9/10,14.5782
1971/9/13,14.3275
1971/9/14,14.3155
1971/9/15,14.4707
1971/9/16,14.3752
1971/9/17,14.3633
1971/9/20,14.5185
1971/9/21,14.5901
1971/9/22,14.6976
1971/9/23,14.5663
1971/9/24,14.5543
1971/9/27,14.5125
1971/9/28,14.5304
1971/9/29,14.4588
1971/9/30,14.5066
1971/10/1,14.614
1971/10/4,14.6379
1971/10/5,14.6976
1971/10/6,14.7573
1971/10/7,14.7334
1971/10/8,14.5543
1971/10/11,14.6021
1971/10/12,15.0498
1971/10/13,14.7692
1971/10/14,14.6976
1971/10/15,14.7453
1971/10/18,14.6259
1971/10/19,14.7573
1971/10/20,14.5663
1971/10/21,14.5185
1971/10/22,14.4051
1971/10/25,14.423
1971/10/26,14.2797
1971/10/27,14.1842
1971/10/28,14.2439
1971/10/29,14.3513
1971/11/1,13.9633
1971/11/2,14.1125
1971/11/3,14.4707
1971/11/4,14.3394
1971/11/5,14.3275
1971/11/8,14.2916
1971/11/9,14.2797
1971/11/10,14.1961
1971/11/11,13.9573
1971/11/12,14.0529
1971/11/15,14.0529
1971/11/16,14.423
1971/11/17,14.3752
1971/11/18,14.0767
1971/11/19,14.017
1971/11/22,13.9335
1971/11/23,13.8738
1971/11/24,13.9335
1971/11/26,14.2678
1971/11/29,14.4349
1971/11/30,14.5901
1971/12/1,14.7931
1971/12/2,14.7812
1971/12/3,15.3304
1971/12/6,14.9603
1971/12/7,15.1393
1971/12/8,14.9722
1971/12/9,15.1632
1971/12/10,15.4975
1971/12/13,15.4856
1971/12/14,15.2826
1971/12/15,15.6229
1971/12/16,16.19
1971/12/17,16.19
1971/12/20,16.3094
1971/12/21,16.5243
1971/12/22,16.2975
1971/12/23,16.0468
1971/12/27,15.9274
1971/12/28,16.202
1971/12/29,16.0945
1971/12/30,15.999
1971/12/31,16.0706
1972/1/3,15.9035
1972/1/4,16.2378
1972/1/5,16.2855
1972/1/6,16.2855
1972/1/7,16.1781
1972/1/10,16.1423
1972/1/11,16.2855
1972/1/12,16.3452
1972/1/13,16.2855
1972/1/14,16.7154
1972/1/17,16.6915
1972/1/18,16.6915
1972/1/19,16.8706
1972/1/20,17.3601
1972/1/21,17.587
1972/1/24,17.2168
1972/1/25,17.4795
1972/1/26,17.6108
1972/1/27,17.587
1972/1/28,17.587
1972/1/31,17.575
1972/2/1,17.6228
1972/2/2,17.8377
1972/2/3,17.8257
1972/2/4,17.6586
1972/2/7,17.5989
1972/2/8,17.778
1972/2/9,17.8496
1972/2/10,17.7661
1972/2/11,17.8496
1972/2/14,17.6228
1972/2/15,17.6586
1972/2/16,17.6407
1972/2/17,17.5631
1972/2/18,17.6108
1972/2/22,17.5989
1972/2/23,17.6228
1972/2/24,17.4198
1972/2/25,17.7899
1972/2/28,17.5273
1972/2/29,17.5989
1972/3/1,17.7899
1972/3/2,17.969
1972/3/3,18.0287
1972/3/6,18.1481
1972/3/7,18.3272
1972/3/8,18.2436
1972/3/9,18.2914
1972/3/10,18.0645
1972/3/13,17.8257
1972/3/14,17.7422
1972/3/15,17.8138
1972/3/16,17.8138
1972/3/17,18.0048
1972/3/20,17.9989
1972/3/21,17.981
1972/3/22,18.0407
1972/3/23,18.2556
1972/3/24,18.2795
1972/3/27,18.3869
1972/3/28,18.3809
1972/3/29,18.1481
1972/3/30,18.2556
1972/4/3,18.4108
1972/4/4,18.5779
1972/4/5,18.7212
1972/4/6,18.6735
1972/4/7,18.5899
1972/4/10,18.6496
1972/4/11,18.6496
1972/4/12,18.9839
1972/4/13,18.8287
1972/4/14,18.8645
1972/4/17,18.8645
1972/4/18,18.9003
1972/4/19,18.6735
1972/4/20,18.5182
1972/4/21,18.3869
1972/4/24,18.3869
1972/4/25,18.2198
1972/4/26,18.1481
1972/4/27,18.1959
1972/4/28,18.4347
1972/5/1,18.2675
1972/5/2,18.1481
1972/5/3,18.1004
1972/5/4,18.363
1972/5/5,18.566
1972/5/8,18.4466
1972/5/9,18.1123
1972/5/10,18.3272
1972/5/11,18.3153
1972/5/12,18.2436
1972/5/15,18.4585
1972/5/16,18.3272
1972/5/17,18.6018
1972/5/18,18.8406
1972/5/19,18.9242
1972/5/22,19.151
1972/5/23,19.1988
1972/5/24,19.2466
1972/5/25,19.2943
1972/5/26,19.2943
1972/5/30,18.8884
1972/5/31,18.9958
1972/6/1,19.0555
1972/6/2,19.0316
1972/6/5,18.8406
1972/6/6,18.769
1972/6/7,18.8764
1972/6/8,18.757
1972/6/9,18.6735
1972/6/12,18.5182
1972/6/13,18.757
1972/6/14,19.0913
1972/6/15,18.9839
1972/6/16,19.0436
1972/6/19,18.9361
1972/6/20,18.96
1972/6/21,18.9839
1972/6/22,18.9003
1972/6/23,18.8645
1972/6/26,18.7332
1972/6/27,18.7332
1972/6/28,18.6555
1972/6/29,18.6973
1972/6/30,18.7212
1972/7/3,18.8705
1972/7/5,19.1033
1972/7/6,19.2824
1972/7/7,19.2943
1972/7/10,19.0555
1972/7/11,18.96
1972/7/12,18.9003
1972/7/13,18.7093
1972/7/14,18.7809
1972/7/17,18.5302
1972/7/18,18.5541
1972/7/19,18.6257
1972/7/20,18.6615
1972/7/21,18.9361
1972/7/24,19.0436
1972/7/25,19.0078
1972/7/26,18.8406
1972/7/27,18.96
1972/7/28,19.0078
